ID,Name,Type,Era,Parents,Trigger,Principle,Tech_Make,Tech_Use
ENV-01,HEARTH_WORKSPACE,ENVIRONMENT,INTUITIVE,[S-08;F-01],Controlled fire + Flat stone surface,Heat/Workspace,Clearing,Basic Crafting/Cooking
ENV-02,CRAFT_BENCH,ENVIRONMENT,INTUITIVE,[ENV-01;S-01;S-02],Dedicated space with vices/stops,Stabilization,Carpentry,Complex Tools/Mechanisms
ENV-03,POTTERY_SHED,ENVIRONMENT,INTUITIVE,[ENV-01;PRIM-08],Kiln + Wheel + Drying racks,Thermal Cycle,Building,Ceramics/Storage
ENV-04,FORGE_SMITHY,ENVIRONMENT,INTUITIVE,[ENV-01;PRIM-10;S-01],High temp fire + Anvil + Hammer,Metallurgy,Construction,Metal Tools/Weapons
ENV-SITE-A,MASONRY_SITE,ENVIRONMENT,INTUITIVE,[ENV-01;SOC-01;S-06],Organized labor + Levers + Ropes,Logistics/Leverage,Organization,Large Structures/Walls
ENV-SCI-01,OBSERVATION_CIRCLE,ENVIRONMENT,INTUITIVE,[S-10;F-03],Place to watch stars/seasons,Pattern Recognition,Oral Tradition,Calendars/Myths
ENV-SCI-02,SCRIBERY_ARCHIVE,ENVIRONMENT,INTUITIVE,[ENV-SCI-01;PRIM-23],Storage for scrolls/tablets,External Memory,Cataloging,History/Math/Law
PRIM-01,RESIN_GLUE,MATERIAL,INTUITIVE,[ENV-01;S-01],Tree sap melts in fire and hardens,Phase Change,Heating,Fixing tools/Composite Bows
PRIM-02,BONE_NEEDLE,TOOL,INTUITIVE,[ENV-01;S-01],Fish bones are sharp and have holes,Piercing,Carving,Sewing skins
PRIM-03,THREAD,MATERIAL,INTUITIVE,[S-05],Plant fibers twisted thinner than rope,Tensile strength,Spinning,Sewing/Weaving
PRIM-04,BOW_AND_ARROW,COMPOSITE,INTUITIVE,[ENV-02;PRIM-03;PRIM-01],Bent wood stores energy,Elastic Energy,Wood bending,Hunting/War
PRIM-05,BASKET,CONTAINER,INTUITIVE,[PRIM-03],Interwoven fibers hold shape,Weaving,Weaving,Storage
PRIM-06,LOOM_FRAME,MACHINE,INTUITIVE,[ENV-02;PRIM-03],Holding threads tight makes weaving faster,Tension/Grid,Frame construction,Making Cloth
PRIM-07,CLOTH,MATERIAL,INTUITIVE,[PRIM-06],Woven threads create flexible sheet,Surface Area,Weaving,Clothing/Sails
