ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
RES-IRON_ORE,Iron Ore,Гематит/Магнетит,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-COPPER_ORE,Copper Ore,Халькопирит,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-BAUXITE,Bauxite,Алюминиевая руда,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-SAND,Silica Sand,Кварцевый песок,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-COAL,Coal,Уголь,SPECIFIC,CAT-OIL,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-OIL,Crude Oil,Сырая нефть,SPECIFIC,CAT-OIL,SCI-GEOLOGY,,,,,FAC-WELL,PROC-EXTRACTION,,
RES-NAT_GAS,Natural Gas,Природный газ,SPECIFIC,CAT-OIL,SCI-GEOLOGY,,,,,FAC-WELL,PROC-EXTRACTION,,
RES-ZINC_ORE,Sphalerite,Цинковая обманка,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-TIN_ORE,Cassiterite,Касситерит,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-GOLD_ORE,Gold Ore,Золотоносная порода,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-SILVER_ORE,Silver Ore,Серебряная руда,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-PLATINUM_ORE,Platinum Ore,Платиноиды,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-LEAD_ORE,Galena,Галенит,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-CHROMITE,Chromite,Хромистая руда,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-TUNGSTEN_ORE,Wolframite,Вольфрамит,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-RUTILE,Rutile,Титановая руда,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-URANINITE,Uraninite,Урановая смолка,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-SPODUMENE,Spodumene,Литиевая руда,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-BRINE,Lithium Brine,Соляной рассол,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-WELL,PROC-EXTRACTION,,
RES-SALT,Rock Salt,Галит (NaCl),SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-LIMESTONE,Limestone,Известняк (CaCO3),SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-SULFUR,Native Sulfur,Самородная сера,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-PHOSPHATE,Phosphate Rock,Фосфориты,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-POTASH,Potash,Калийная соль,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
RES-BORAX,Borax,Бура,SPECIFIC,CAT-MIN,SCI-GEOLOGY,,,,,FAC-MINE,PROC-EXTRACTION,,
