ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
ELEM-H,Hydrogen,Водород (H),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-WATER;RES-NAT_GAS,,FAC-REFINERY,PROC-ELECTROLYSIS,,
ELEM-HE,Helium,Гелий (He),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-NAT_GAS,,FAC-REFINERY,PROC-DISTILLATION,,
ELEM-LI,Lithium,Литий (Li),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-BRINE;RES-SPODUMENE,,FAC-REFINERY,PROC-ELECTROLYSIS,,
ELEM-BE,Beryllium,Бериллий (Be),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-BERYL,,FAC-REFINERY,PROC-REDUCTION,,
ELEM-B,Boron,Бор (B),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-BORAX,,FAC-REFINERY,PROC-REDUCTION,,
ELEM-C,Carbon,Углерод (C),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-COAL;RES-OIL,,FAC-REFINERY,PROC-PYROLYSIS,,
ELEM-N,Nitrogen,Азот (N),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-AIR,,FAC-REFINERY,PROC-DISTILLATION,,
ELEM-O,Oxygen,Кислород (O),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-AIR,,FAC-REFINERY,PROC-DISTILLATION,,
ELEM-F,Fluorine,Фтор (F),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-FLUORITE,,FAC-REFINERY,PROC-ELECTROLYSIS,,
ELEM-NE,Neon,Неон (Ne),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-AIR,,FAC-REFINERY,PROC-DISTILLATION,,
ELEM-NA,Sodium,Натрий (Na),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-SALT,,FAC-REFINERY,PROC-ELECTROLYSIS,,
ELEM-MG,Magnesium,Магний (Mg),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-BRINE;RES-DOLOMITE,,FAC-SMELTER,PROC-ELECTROLYSIS,,
ELEM-AL,Aluminum,Алюминий (Al),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-BAUXITE,,FAC-SMELTER,PROC-ELECTROLYSIS,,
ELEM-SI,Silicon,Кремний (Si),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-SAND,,FAC-REFINERY,PROC-REDUCTION,,
ELEM-P,Phosphorus,Фосфор (P),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-PHOSPHATE,,FAC-REFINERY,PROC-REDUCTION,,
ELEM-S,Sulfur,Сера (S),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-SULFUR,,FAC-REFINERY,PROC-EXTRACTION,,
ELEM-CL,Chlorine,Хлор (Cl),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-SALT,,FAC-REFINERY,PROC-ELECTROLYSIS,,
ELEM-AR,Argon,Аргон (Ar),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-AIR,,FAC-REFINERY,PROC-DISTILLATION,,
ELEM-K,Potassium,Калий (K),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-POTASH,,FAC-REFINERY,PROC-ELECTROLYSIS,,
ELEM-CA,Calcium,Кальций (Ca),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-LIMESTONE,,FAC-REFINERY,PROC-ELECTROLYSIS,,
ELEM-TI,Titanium,Титан (Ti),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-RUTILE,,FAC-SMELTER,PROC-KROLL_PROCESS,,
ELEM-V,Vanadium,Ванадий (V),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-VANADINITE,,FAC-SMELTER,PROC-REDUCTION,,
ELEM-CR,Chromium,Хром (Cr),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-CHROMITE,,FAC-SMELTER,PROC-REDUCTION,,
ELEM-MN,Manganese,Марганец (Mn),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-PYROLUSITE,,FAC-SMELTER,PROC-REDUCTION,,
ELEM-FE,Iron,Железо (Fe),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-IRON_ORE,,FAC-BLAST_FURNACE,PROC-SMELTING,,
ELEM-CO,Cobalt,Кобальт (Co),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-COBALTITE,,FAC-SMELTER,PROC-SMELTING,,
ELEM-NI,Nickel,Никель (Ni),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-PENTLANDITE,,FAC-SMELTER,PROC-SMELTING,,
ELEM-CU,Copper,Медь (Cu),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-COPPER_ORE,,FAC-SMELTER,PROC-SMELTING,,
ELEM-ZN,Zinc,Цинк (Zn),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-ZINC_ORE,,FAC-SMELTER,PROC-SMELTING,,
ELEM-GA,Gallium,Галлий (Ga),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-BAUXITE,,FAC-REFINERY,PROC-EXTRACTION,,
ELEM-GE,Germanium,Германий (Ge),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-ZINC_ORE,,FAC-REFINERY,PROC-EXTRACTION,,
ELEM-AS,Arsenic,Мышьяк (As),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-ARSENOPYRITE,,FAC-REFINERY,PROC-ROASTING,,
ELEM-SE,Selenium,Селен (Se),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-COPPER_ORE,,FAC-REFINERY,PROC-EXTRACTION,,
ELEM-ZR,Zirconium,Цирконий (Zr),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-ZIRCON,,FAC-REFINERY,PROC-KROLL_PROCESS,,
ELEM-NB,Niobium,Ниобий (Nb),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-COLUMBITE,,FAC-SMELTER,PROC-REDUCTION,,
ELEM-MO,Molybdenum,Молибден (Mo),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-MOLYBDENITE,,FAC-SMELTER,PROC-ROASTING,,
ELEM-PD,Palladium,Палладий (Pd),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-PLATINUM_ORE,,FAC-REFINERY,PROC-REFINING,,
ELEM-AG,Silver,Серебро (Ag),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-SILVER_ORE,,FAC-REFINERY,PROC-REFINING,,
ELEM-CD,Cadmium,Кадмий (Cd),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-ZINC_ORE,,FAC-REFINERY,PROC-DISTILLATION,,
ELEM-IN,Indium,Индий (In),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-ZINC_ORE,,FAC-REFINERY,PROC-ELECTROLYSIS,,
ELEM-SN,Tin,Олово (Sn),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-TIN_ORE,,FAC-SMELTER,PROC-SMELTING,,
ELEM-SB,Antimony,Сурьма (Sb),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-STIBNITE,,FAC-SMELTER,PROC-ROASTING,,
ELEM-XE,Xenon,Ксенон (Xe),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-AIR,,FAC-REFINERY,PROC-DISTILLATION,,
ELEM-BA,Barium,Барий (Ba),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-BARITE,,FAC-REFINERY,PROC-ELECTROLYSIS,,
ELEM-LA,Lanthanum,Лантан (La),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-MONAZITE,,FAC-REFINERY,PROC-EXTRACTION,,
ELEM-ND,Neodymium,Неодим (Nd),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-MONAZITE,,FAC-REFINERY,PROC-EXTRACTION,,
ELEM-W,Tungsten,Вольфрам (W),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-TUNGSTEN_ORE,,FAC-SMELTER,PROC-REDUCTION,,
ELEM-PT,Platinum,Платина (Pt),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-PLATINUM_ORE,,FAC-REFINERY,PROC-REFINING,,
ELEM-AU,Gold,Золото (Au),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-GOLD_ORE,,FAC-REFINERY,PROC-REFINING,,
ELEM-HG,Mercury,Ртуть (Hg),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-CINNABAR,,FAC-REFINERY,PROC-DISTILLATION,,
ELEM-PB,Lead,Свинец (Pb),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-LEAD_ORE,,FAC-SMELTER,PROC-SMELTING,,
ELEM-BI,Bismuth,Висмут (Bi),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-BISMUTHINITE,,FAC-SMELTER,PROC-SMELTING,,
ELEM-U,Uranium,Уран (U),SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-URANINITE,,FAC-REFINERY,PROC-LEACHING,,
ELEM-PU,Plutonium,Плутоний (Pu),SPECIFIC,CAT-CHEM,SCI-PHYSICS,,ELEM-U,,FAC-NUCLEAR_REACTOR,PROC-TRANSMUTATION,,
CHEM-H2SO4,Sulfuric Acid,Серная кислота,SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-SULFUR;RES-WATER,,FAC-CHEMICAL_PLANT,PROC-SYNTHESIS,,
CHEM-HCL,Hydrochloric Acid,Соляная кислота,SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-SALT;CHEM-H2SO4,,FAC-CHEMICAL_PLANT,PROC-SYNTHESIS,,
CHEM-HNO3,Nitric Acid,Азотная кислота,SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,ELEM-N;ELEM-O;RES-WATER,,FAC-CHEMICAL_PLANT,PROC-OSTWALD,,
CHEM-NH3,Ammonia,Аммиак,SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,ELEM-N;ELEM-H,,FAC-CHEMICAL_PLANT,PROC-HABER,,
CHEM-NAOH,Sodium Hydroxide,Едкий натр,SPECIFIC,CAT-CHEM,SCI-CHEMISTRY,,RES-SALT;RES-WATER,,FAC-CHEMICAL_PLANT,PROC-CHLORALKALI,,
