ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
MAT-PIG_IRON,Pig Iron,Чугун передельный (сырой),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,RES-IRON_ORE;RES-COAL,,FAC-BLAST_FURNACE,PROC-SMELTING,,
MAT-CAST_IRON_GREY,Grey Cast Iron,Серый чугун (Станины/Сковороды),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,RES-IRON_ORE,ELEM-FE;ELEM-C;ELEM-SI,FAC-FOUNDRY,PROC-CASTING,,
MAT-CAST_IRON_DUCTILE,Ductile Iron,Ковкий чугун (Трубы/Валы),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-C;ELEM-MG,FAC-FOUNDRY,PROC-CASTING,,
MAT-STEEL_A36,Structural Steel A36,Ст3 (Балки/Мосты),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,RES-IRON_ORE,ELEM-FE;ELEM-C,FAC-STEEL_MILL,PROC-ROLLING,,
MAT-STEEL_1018,Mild Steel 1018,Мягкая сталь (Крепеж),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-C,FAC-STEEL_MILL,PROC-DRAWING,,
MAT-STEEL_1045,Medium Carbon Steel 1045,Сталь 45 (Шестерни/Оси),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-C;ELEM-MN,FAC-STEEL_MILL,PROC-ALLOYING,,
MAT-STEEL_1095,High Carbon Steel 1095,Пружинная сталь (Ножи/Рессоры),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-C,FAC-STEEL_MILL,PROC-TEMPERING,,
MAT-STEEL_4140,Chrome-Moly 4140,Хромомолибденовая (Винтовки/Оси),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-CR;ELEM-MO,FAC-STEEL_MILL,PROC-ALLOYING,,
MAT-STEEL_4340,Nickel-Chrome-Moly 4340,Высокопрочная (Шасси самолетов),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-NI;ELEM-CR;ELEM-MO,FAC-STEEL_MILL,PROC-ALLOYING,,
MAT-STEEL_5160,Spring Steel 5160,Рессорно-пружинная (Мечи/Подвеска),SPECIFIC,GRP-FERROUS,SCI-METALLURGY,,,ELEM-FE;ELEM-CR,FAC-STEEL_MILL,PROC-TEMPERING,,
