ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
MAT-COPPER_ETP,Electrolytic Tough Pitch Copper,Медь М1 (Провода),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-CU,FAC-REFINERY,PROC-ELECTROLYSIS,,
MAT-COPPER_OFC,Oxygen-Free Copper,Бескислородная медь (Hi-End Аудио),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-CU,FAC-REFINERY,PROC-REFINING,,
MAT-BRASS_C360,Free-Machining Brass,Латунь сыпучка (Фитинги),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-CU;ELEM-ZN;ELEM-PB,FAC-FOUNDRY,PROC-ALLOYING,,
MAT-BRASS_NAVAL,Naval Brass,Морская латунь (Винты),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-CU;ELEM-ZN;ELEM-SN,FAC-FOUNDRY,PROC-ALLOYING,,
MAT-BRONZE_PHOS,Phosphor Bronze,Фосфористая бронза (Пружинные контакты),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-CU;ELEM-SN;ELEM-P,FAC-FOUNDRY,PROC-ALLOYING,,
MAT-BRONZE_AL,Aluminum Bronze,Алюминиевая бронза (Втулки/Химстойкость),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-CU;ELEM-AL,FAC-FOUNDRY,PROC-ALLOYING,,
MAT-BRONZE_BE,Beryllium Copper,Бериллиевая бронза (Не искрит/Пружины),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-CU;ELEM-BE,FAC-FOUNDRY,PROC-ALLOYING,,
MAT-CUPRONICKEL,Cupronickel,Мельхиор (Монеты/Трубки опреснителей),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-CU;ELEM-NI,FAC-FOUNDRY,PROC-ALLOYING,,
MAT-AL_1100,Aluminum 1100,Чистый алюминий (Фольга/Провода),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-AL,FAC-SMELTER,PROC-ROLLING,,
MAT-AL_2024,Aluminum 2024,Дюралюминий (Обшивка самолетов),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-AL;ELEM-CU,FAC-SMELTER,PROC-ALLOYING,,
MAT-AL_3003,Aluminum 3003,Алюминий с марганцем (Банки),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-AL;ELEM-MN,FAC-SMELTER,PROC-ALLOYING,,
MAT-AL_5052,Aluminum 5052,Морской алюминий (Лодки),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-AL;ELEM-MG,FAC-SMELTER,PROC-ALLOYING,,
MAT-AL_6061,Aluminum 6061,Авиаль (Рамы велосипедов),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-AL;ELEM-MG;ELEM-SI,FAC-SMELTER,PROC-ALLOYING,,
MAT-AL_7075,Aluminum 7075,Высокопрочный (Винтовки/Зеро),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-AL;ELEM-ZN;ELEM-MG;ELEM-CU,FAC-SMELTER,PROC-ALLOYING,,
MAT-AL_CAST_356,Cast Aluminum 356,Литейный алюминий (Блоки ДВС),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-AL;ELEM-SI;ELEM-MG,FAC-FOUNDRY,PROC-CASTING,,
MAT-TI_CP2,Titanium Grade 2,Технический титан (Трубы/Химпром),SPECIFIC,GRP-NONFERR,SCI-METALLURGY,,,ELEM-TI,FAC-SMELTER,PROC-VACUUM_MELTING,,
