ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
MAT-POLY_LDPE,LDPE,Полиэтилен низкого давления (Пакеты/Пленка),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H,FAC-CHEMICAL_PLANT,PROC-POLYMERIZATION,,
MAT-POLY_HDPE,HDPE,Полиэтилен высокого давления (Канистры/Трубы),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H,FAC-CHEMICAL_PLANT,PROC-POLYMERIZATION,,
MAT-POLY_PP,Polypropylene,Полипропилен (Веревки/Бамперы),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H,FAC-CHEMICAL_PLANT,PROC-POLYMERIZATION,,
MAT-POLY_PS,Polystyrene,Полистирол (Одноразовая посуда),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H,FAC-CHEMICAL_PLANT,PROC-POLYMERIZATION,,
MAT-POLY_EPS,Expanded Polystyrene,Пенопласт (Утеплитель),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,MAT-POLY_PS,FAC-CHEMICAL_PLANT,PROC-FOAMING,,
MAT-POLY_PVC_RIGID,Rigid PVC,Жесткий ПВХ (Окна/Трубы),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL;RES-SALT,ELEM-C;ELEM-H;ELEM-CL,FAC-CHEMICAL_PLANT,PROC-POLYMERIZATION,,
MAT-POLY_PVC_FLEX,Flexible PVC,Мягкий ПВХ (Изоляция проводов/Линолеум),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,MAT-POLY_PVC_RIGID;CHEM-PLASTICIZER,FAC-CHEMICAL_PLANT,PROC-MIXING,,
MAT-POLY_PET,PET,ПЭТ (Бутылки),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H;ELEM-O,FAC-CHEMICAL_PLANT,PROC-POLYMERIZATION,,
MAT-POLY_ABS,ABS,АБС Пластик (Lego/Корпуса),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H;ELEM-N,FAC-CHEMICAL_PLANT,PROC-POLYMERIZATION,,
MAT-POLY_PMMA,Acrylic (PMMA),Оргстекло/Плексиглас,SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H;ELEM-O,FAC-CHEMICAL_PLANT,PROC-POLYMERIZATION,,
MAT-POLY_PC,Polycarbonate,Поликарбонат (CD/Очки/Фары),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H;ELEM-O,FAC-CHEMICAL_PLANT,PROC-POLYMERIZATION,,
MAT-POLY_PA6,Nylon 6,Капрон (Чулки/Шестерни),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H;ELEM-N;ELEM-O,FAC-CHEMICAL_PLANT,PROC-POLYMERIZATION,,
MAT-POLY_PA66,Nylon 66,Нейлон 66 (Высокопрочный),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H;ELEM-N,FAC-CHEMICAL_PLANT,PROC-POLYMERIZATION,,
MAT-POLY_POM,Acetal (Delrin),Полиацеталь (Скользкие детали/Втулки),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H;ELEM-O,FAC-CHEMICAL_PLANT,PROC-POLYMERIZATION,,
MAT-POLY_PTFE,Teflon (PTFE),Тефлон (Сковороды/Уплотнения),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-FLUORITE,ELEM-C;ELEM-F,FAC-CHEMICAL_PLANT,PROC-POLYMERIZATION,,
MAT-POLY_PU,Polyurethane,Полиуретан (Подошвы/Ролики),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H;ELEM-N;ELEM-O,FAC-CHEMICAL_PLANT,PROC-POLYMERIZATION,,
MAT-POLY_PEEK,PEEK,Полиэфирэфиркетон (Замена металла/Космос),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H;ELEM-O,FAC-CHEMICAL_PLANT,PROC-POLYMERIZATION,,
MAT-POLY_EPOXY,Epoxy Resin,Эпоксидка (Клей/Матрица композитов),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H;ELEM-O,FAC-CHEMICAL_PLANT,PROC-SYNTHESIS,,
MAT-POLY_PHENOLIC,Bakelite,Бакелит (Старые телефоны/Ручки),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-COAL,ELEM-C;ELEM-H;ELEM-O,FAC-CHEMICAL_PLANT,PROC-POLYMERIZATION,,
MAT-RUBBER_NR,Natural Rubber,Натуральный каучук,SPECIFIC,CAT-POLY,SCI-BIOLOGY,,RES-LATEX,,,FAC-PLANTATION,PROC-VULCANIZATION,,
MAT-RUBBER_SBR,SBR Rubber,Стирол-бутадиеновый каучук (Шины),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H,FAC-CHEMICAL_PLANT,PROC-VULCANIZATION,,
MAT-RUBBER_NBR,Nitrile Rubber,Нитрил (Маслостойкие перчатки/Сальники),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H;ELEM-N,FAC-CHEMICAL_PLANT,PROC-VULCANIZATION,,
MAT-RUBBER_EPDM,EPDM Rubber,ЭПДМ (Уплотнители окон/Шланги),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H,FAC-CHEMICAL_PLANT,PROC-VULCANIZATION,,
MAT-RUBBER_CR,Neoprene,Неопрен (Гидрокостюмы),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-OIL,ELEM-C;ELEM-H;ELEM-CL,FAC-CHEMICAL_PLANT,PROC-VULCANIZATION,,
MAT-RUBBER_FKM,Viton,Фторкаучук (Агрессивные среды/Космос),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-FLUORITE,ELEM-C;ELEM-F,FAC-CHEMICAL_PLANT,PROC-VULCANIZATION,,
MAT-SILICONE,Silicone Rubber,Силикон (Формы/Медицина),SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-SAND,ELEM-SI;ELEM-O;ELEM-C,FAC-CHEMICAL_PLANT,PROC-SYNTHESIS,,
MAT-FIBER_GLASS,Fiberglass,Стекловолокно,SPECIFIC,CAT-POLY,SCI-CHEMISTRY,,RES-SAND,ELEM-SI;ELEM-O,FAC-GLASS_PLANT,PROC-SPINNING,,
