ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Invention_Reason,Social_Context,Drawbacks,Side_Effects,Impact_Map,Properties,External_Data_Link,Renewable,Location,Extraction_Method,Reserves_Estimate,Energy_Density_J_kg,Scarcity_Score,Knowledge_Completeness,Hidden_Potential_Hypothesis
RES-FUEL_ANTHRACITE_BATCH_001,Anthracite #1,COAL source from China.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,1.47,20.0,CARBON_MATRIX_IMPURE,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,"{'Energy': '30.9 MJ/kg'}, 'Ash': '5%', 'Sulfur': '0.6%'",NULL,FALSE,China,Drilling/Mining,Finite,30944638,0.4,0.95,None
RES-FUEL_ANTHRACITE_BATCH_002,Anthracite #2,COAL source from China.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,1.54,20.0,CARBON_MATRIX_IMPURE,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,"{'Energy': '32.3 MJ/kg'}, 'Ash': '5%', 'Sulfur': '0.6%'",NULL,FALSE,China,Drilling/Mining,Finite,32283810,0.4,0.95,None
RES-FUEL_ANTHRACITE_BATCH_003,Anthracite #3,COAL source from China.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,1.47,20.0,CARBON_MATRIX_IMPURE,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,"{'Energy': '30.9 MJ/kg'}, 'Ash': '5%', 'Sulfur': '0.6%'",NULL,FALSE,China,Drilling/Mining,Finite,30928097,0.4,0.95,None
RES-FUEL_ANTHRACITE_BATCH_004,Anthracite #4,COAL source from China.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,1.47,20.0,CARBON_MATRIX_IMPURE,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,"{'Energy': '31.0 MJ/kg'}, 'Ash': '5%', 'Sulfur': '0.6%'",NULL,FALSE,China,Drilling/Mining,Finite,30965340,0.4,0.95,None
RES-FUEL_ANTHRACITE_BATCH_005,Anthracite #5,COAL source from China.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,1.45,20.0,CARBON_MATRIX_IMPURE,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,"{'Energy': '30.5 MJ/kg'}, 'Ash': '5%', 'Sulfur': '0.6%'",NULL,FALSE,China,Drilling/Mining,Finite,30463799,0.4,0.95,None
RES-FUEL_ANTHRACITE_BATCH_006,Anthracite #6,COAL source from China.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,1.48,20.0,CARBON_MATRIX_IMPURE,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,"{'Energy': '31.0 MJ/kg'}, 'Ash': '5%', 'Sulfur': '0.6%'",NULL,FALSE,China,Drilling/Mining,Finite,31014047,0.4,0.95,None
RES-FUEL_ANTHRACITE_BATCH_007,Anthracite #7,COAL source from China.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,1.54,20.0,CARBON_MATRIX_IMPURE,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,"{'Energy': '32.3 MJ/kg'}, 'Ash': '5%', 'Sulfur': '0.6%'",NULL,FALSE,China,Drilling/Mining,Finite,32279434,0.4,0.95,None
RES-FUEL_ANTHRACITE_BATCH_008,Anthracite #8,COAL source from China.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,1.51,20.0,CARBON_MATRIX_IMPURE,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,"{'Energy': '31.8 MJ/kg'}, 'Ash': '5%', 'Sulfur': '0.6%'",NULL,FALSE,China,Drilling/Mining,Finite,31761707,0.4,0.95,None
RES-FUEL_ANTHRACITE_BATCH_009,Anthracite #9,COAL source from China.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,1.45,20.0,CARBON_MATRIX_IMPURE,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,"{'Energy': '30.4 MJ/kg'}, 'Ash': '5%', 'Sulfur': '0.6%'",NULL,FALSE,China,Drilling/Mining,Finite,30443951,0.4,0.95,None
RES-FUEL_ANTHRACITE_BATCH_010,Anthracite #10,COAL source from China.,ERA-05_ELECTRICAL,RES-BIO_ANCIENT_FOREST,ACTIVE,1.46,20.0,CARBON_MATRIX_IMPURE,Nature,MKT-ENERGY,CO2,Warming,FAC-POWER:ENABLE:+100;ENV-CLIMATE:DAMAGE:-50,"{'Energy': '30.6 MJ/kg'}, 'Ash': '5%', 'Sulfur': '0.6%'",NULL,FALSE,China,Drilling/Mining,Finite,30647368,0.4,0.95,None
