ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Invention_Reason,Social_Context,Drawbacks,Side_Effects,Impact_Map,Properties,External_Data_Link,Renewable,Location,Extraction_Method,Reserves_Estimate,Energy_Density_J_kg,Scarcity_Score,Knowledge_Completeness,Hidden_Potential_Hypothesis,Potential_Realization_Rate
RES-ORE_AU_PILBARA_BATCH_01,Pilbara Blend (Batch 2020),High grade iron oxide (Fe2O3). Australia. Fe: 61.1%.,ERA-06_DIGITAL,NULL,ACTIVE,4.19,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,High Alumina,Tailings,MAT-STEEL:ENABLE:+10;FAC-BLAST_FURNACE:DAMAGE:-2,"{'Fe': '61.09%', 'SiO2': '4.49%', 'Al2O3': '2.1%', 'P': '0.069%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_PILBARA_BATCH_02,Pilbara Blend (Batch 2021),High grade iron oxide (Fe2O3). Australia. Fe: 61.1%.,ERA-06_DIGITAL,NULL,ACTIVE,4.21,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,High Alumina,Tailings,MAT-STEEL:ENABLE:+10;FAC-BLAST_FURNACE:DAMAGE:-2,"{'Fe': '61.10%', 'SiO2': '4.12%', 'Al2O3': '2.15%', 'P': '0.084%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_PILBARA_BATCH_03,Pilbara Blend (Batch 2022),High grade iron oxide (Fe2O3). Australia. Fe: 61.3%.,ERA-06_DIGITAL,NULL,ACTIVE,4.14,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,High Alumina,Tailings,MAT-STEEL:ENABLE:+10;FAC-BLAST_FURNACE:DAMAGE:-2,"{'Fe': '61.29%', 'SiO2': '4.59%', 'Al2O3': '2.34%', 'P': '0.085%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_PILBARA_BATCH_04,Pilbara Blend (Batch 2023),High grade iron oxide (Fe2O3). Australia. Fe: 62.1%.,ERA-06_DIGITAL,NULL,ACTIVE,4.17,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,High Alumina,Tailings,MAT-STEEL:ENABLE:+10;FAC-BLAST_FURNACE:DAMAGE:-2,"{'Fe': '62.10%', 'SiO2': '4.88%', 'Al2O3': '2.22%', 'P': '0.084%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_PILBARA_BATCH_05,Pilbara Blend (Batch 2024),High grade iron oxide (Fe2O3). Australia. Fe: 60.5%.,ERA-06_DIGITAL,NULL,ACTIVE,4.08,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,High Alumina,Tailings,MAT-STEEL:ENABLE:+10;FAC-BLAST_FURNACE:DAMAGE:-2,"{'Fe': '60.48%', 'SiO2': '4.47%', 'Al2O3': '2.46%', 'P': '0.093%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_PILBARA_BATCH_06,Pilbara Blend (Batch 2025),High grade iron oxide (Fe2O3). Australia. Fe: 62.1%.,ERA-06_DIGITAL,NULL,ACTIVE,4.14,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,High Alumina,Tailings,MAT-STEEL:ENABLE:+10;FAC-BLAST_FURNACE:DAMAGE:-2,"{'Fe': '62.10%', 'SiO2': '4.76%', 'Al2O3': '2.46%', 'P': '0.095%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_PILBARA_BATCH_07,Pilbara Blend (Batch 2026),High grade iron oxide (Fe2O3). Australia. Fe: 61.2%.,ERA-06_DIGITAL,NULL,ACTIVE,4.1,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,High Alumina,Tailings,MAT-STEEL:ENABLE:+10;FAC-BLAST_FURNACE:DAMAGE:-2,"{'Fe': '61.16%', 'SiO2': '4.84%', 'Al2O3': '2.35%', 'P': '0.088%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_PILBARA_BATCH_08,Pilbara Blend (Batch 2027),High grade iron oxide (Fe2O3). Australia. Fe: 61.7%.,ERA-06_DIGITAL,NULL,ACTIVE,4.2,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,High Alumina,Tailings,MAT-STEEL:ENABLE:+10;FAC-BLAST_FURNACE:DAMAGE:-2,"{'Fe': '61.67%', 'SiO2': '4.7%', 'Al2O3': '2.09%', 'P': '0.068%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_PILBARA_BATCH_09,Pilbara Blend (Batch 2028),High grade iron oxide (Fe2O3). Australia. Fe: 62.5%.,ERA-06_DIGITAL,NULL,ACTIVE,4.2,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,High Alumina,Tailings,MAT-STEEL:ENABLE:+10;FAC-BLAST_FURNACE:DAMAGE:-2,"{'Fe': '62.46%', 'SiO2': '4.77%', 'Al2O3': '2.23%', 'P': '0.084%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_PILBARA_BATCH_10,Pilbara Blend (Batch 2029),High grade iron oxide (Fe2O3). Australia. Fe: 61.7%.,ERA-06_DIGITAL,NULL,ACTIVE,4.19,10.0,TRIGONAL_HEXAGONAL,Nature,MKT-GLOBAL_TRADE,High Alumina,Tailings,MAT-STEEL:ENABLE:+10;FAC-BLAST_FURNACE:DAMAGE:-2,"{'Fe': '61.70%', 'SiO2': '4.59%', 'Al2O3': '2.18%', 'P': '0.093%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_YANDI_BATCH_01,Yandicoogina (Batch 2020),Hydrated iron oxide. Australia. Fe: 59.0%.,ERA-06_DIGITAL,NULL,ACTIVE,3.13,10.0,ORTHORHOMBIC,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '59.01%', 'SiO2': '4.98%', 'Al2O3': '1.63%', 'P': '0.066%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_YANDI_BATCH_02,Yandicoogina (Batch 2021),Hydrated iron oxide. Australia. Fe: 58.8%.,ERA-06_DIGITAL,NULL,ACTIVE,3.12,10.0,ORTHORHOMBIC,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '58.77%', 'SiO2': '5.06%', 'Al2O3': '1.54%', 'P': '0.055%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_YANDI_BATCH_03,Yandicoogina (Batch 2022),Hydrated iron oxide. Australia. Fe: 58.5%.,ERA-06_DIGITAL,NULL,ACTIVE,3.16,10.0,ORTHORHOMBIC,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '58.50%', 'SiO2': '4.77%', 'Al2O3': '1.42%', 'P': '0.051%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_YANDI_BATCH_04,Yandicoogina (Batch 2023),Hydrated iron oxide. Australia. Fe: 57.2%.,ERA-06_DIGITAL,NULL,ACTIVE,3.02,10.0,ORTHORHOMBIC,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '57.20%', 'SiO2': '5.43%', 'Al2O3': '1.47%', 'P': '0.049%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_YANDI_BATCH_05,Yandicoogina (Batch 2024),Hydrated iron oxide. Australia. Fe: 58.2%.,ERA-06_DIGITAL,NULL,ACTIVE,3.13,10.0,ORTHORHOMBIC,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '58.17%', 'SiO2': '4.64%', 'Al2O3': '1.59%', 'P': '0.049%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_YANDI_BATCH_06,Yandicoogina (Batch 2025),Hydrated iron oxide. Australia. Fe: 57.7%.,ERA-06_DIGITAL,NULL,ACTIVE,3.08,10.0,ORTHORHOMBIC,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '57.70%', 'SiO2': '5.16%', 'Al2O3': '1.47%', 'P': '0.05%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_YANDI_BATCH_07,Yandicoogina (Batch 2026),Hydrated iron oxide. Australia. Fe: 58.8%.,ERA-06_DIGITAL,NULL,ACTIVE,3.13,10.0,ORTHORHOMBIC,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '58.75%', 'SiO2': '5.36%', 'Al2O3': '1.38%', 'P': '0.052%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_YANDI_BATCH_08,Yandicoogina (Batch 2027),Hydrated iron oxide. Australia. Fe: 59.0%.,ERA-06_DIGITAL,NULL,ACTIVE,3.13,10.0,ORTHORHOMBIC,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '58.97%', 'SiO2': '4.98%', 'Al2O3': '1.61%', 'P': '0.049%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_YANDI_BATCH_09,Yandicoogina (Batch 2028),Hydrated iron oxide. Australia. Fe: 57.2%.,ERA-06_DIGITAL,NULL,ACTIVE,3.04,10.0,ORTHORHOMBIC,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '57.17%', 'SiO2': '5.39%', 'Al2O3': '1.38%', 'P': '0.068%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
RES-ORE_AU_YANDI_BATCH_10,Yandicoogina (Batch 2029),Hydrated iron oxide. Australia. Fe: 57.0%.,ERA-06_DIGITAL,NULL,ACTIVE,3.06,10.0,ORTHORHOMBIC,Nature,MKT-GLOBAL_TRADE,None,Tailings,MAT-STEEL:ENABLE:+10,"{'Fe': '57.04%', 'SiO2': '4.8%', 'Al2O3': '1.57%', 'P': '0.053%'}",NULL,FALSE,Australia,Open-pit,Huge,0,0.1,0.99,None,0.95
