ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Properties,Chemical_Formula,Req_Resource,Req_Process,Invention_Reason,Social_Context,Drawbacks,Side_Effects,Impact_Map,External_Data_Link
MAT-POLY_PE_HD_MFI5_01,HDPE (Grade 1),"Milk jugs, pipes. MFI: 5.0. Density: 0.95.",ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,1.0,10.0,CHAIN_SEMI_CRYSTALLINE,"{'MFI': '5.0', 'Density': '0.95 g/cm3', 'Tm': '130 C', 'Recyclable': '100.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PE_HD_MFI20_02,HDPE (Grade 2),"Milk jugs, pipes. MFI: 20.0. Density: 0.95.",ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,0.7,10.0,CHAIN_SEMI_CRYSTALLINE,"{'MFI': '20.0', 'Density': '0.95 g/cm3', 'Tm': '130 C', 'Recyclable': '100.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PE_HD_MFI5_03,HDPE (Grade 3),"Milk jugs, pipes. MFI: 5.0. Density: 0.95.",ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,1.0,10.0,CHAIN_SEMI_CRYSTALLINE,"{'MFI': '5.0', 'Density': '0.95 g/cm3', 'Tm': '130 C', 'Recyclable': '100.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PE_LD_MFI0_01,LDPE (Grade 1),"Films, bags. MFI: 0.5. Density: 0.92.",ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,0.8,10.0,CHAIN_SEMI_CRYSTALLINE,"{'MFI': '0.5', 'Density': '0.92 g/cm3', 'Tm': '110 C', 'Recyclable': '80.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PE_LD_MFI20_02,LDPE (Grade 2),"Films, bags. MFI: 20.0. Density: 0.92.",ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,0.5,10.0,CHAIN_SEMI_CRYSTALLINE,"{'MFI': '20.0', 'Density': '0.92 g/cm3', 'Tm': '110 C', 'Recyclable': '80.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PE_LD_MFI0_03,LDPE (Grade 3),"Films, bags. MFI: 0.5. Density: 0.92.",ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,0.8,10.0,CHAIN_SEMI_CRYSTALLINE,"{'MFI': '0.5', 'Density': '0.92 g/cm3', 'Tm': '110 C', 'Recyclable': '80.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PP_HOMO_MFI20_01,Polypropylene (Grade 1),"Containers, bumpers. MFI: 20.0. Density: 0.9.",ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,0.6,10.0,CHAIN_SEMI_CRYSTALLINE,"{'MFI': '20.0', 'Density': '0.9 g/cm3', 'Tm': '160 C', 'Recyclable': '90.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PP_HOMO_MFI5_02,Polypropylene (Grade 2),"Containers, bumpers. MFI: 5.0. Density: 0.9.",ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,0.9,10.0,CHAIN_SEMI_CRYSTALLINE,"{'MFI': '5.0', 'Density': '0.9 g/cm3', 'Tm': '160 C', 'Recyclable': '90.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PP_HOMO_MFI0_03,Polypropylene (Grade 3),"Containers, bumpers. MFI: 0.5. Density: 0.9.",ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,0.9,10.0,CHAIN_SEMI_CRYSTALLINE,"{'MFI': '0.5', 'Density': '0.9 g/cm3', 'Tm': '160 C', 'Recyclable': '90.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PVC_RIGID_MFI20_01,PVC (Rigid) (Grade 1),"Pipes, windows. MFI: 20.0. Density: 1.4.",ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,0.2,10.0,CHAIN_SEMI_CRYSTALLINE,"{'MFI': '20.0', 'Density': '1.4 g/cm3', 'Tm': '160 C', 'Recyclable': '50.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PVC_RIGID_MFI0_02,PVC (Rigid) (Grade 2),"Pipes, windows. MFI: 0.5. Density: 1.4.",ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,0.5,10.0,CHAIN_SEMI_CRYSTALLINE,"{'MFI': '0.5', 'Density': '1.4 g/cm3', 'Tm': '160 C', 'Recyclable': '50.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PVC_RIGID_MFI5_03,PVC (Rigid) (Grade 3),"Pipes, windows. MFI: 5.0. Density: 1.4.",ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,0.5,10.0,CHAIN_SEMI_CRYSTALLINE,"{'MFI': '5.0', 'Density': '1.4 g/cm3', 'Tm': '160 C', 'Recyclable': '50.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PET_BOT_MFI0_01,PET (Bottle) (Grade 1),Water bottles. MFI: 0.5. Density: 1.38.,ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,1.0,10.0,CHAIN_SEMI_CRYSTALLINE,"{'MFI': '0.5', 'Density': '1.38 g/cm3', 'Tm': '250 C', 'Recyclable': '100.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PET_BOT_MFI0_02,PET (Bottle) (Grade 2),Water bottles. MFI: 0.5. Density: 1.38.,ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,1.0,10.0,CHAIN_SEMI_CRYSTALLINE,"{'MFI': '0.5', 'Density': '1.38 g/cm3', 'Tm': '250 C', 'Recyclable': '100.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PET_BOT_MFI20_03,PET (Bottle) (Grade 3),Water bottles. MFI: 20.0. Density: 1.38.,ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,0.7,10.0,CHAIN_SEMI_CRYSTALLINE,"{'MFI': '20.0', 'Density': '1.38 g/cm3', 'Tm': '250 C', 'Recyclable': '100.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PS_GP_MFI0_01,Polystyrene (Grade 1),Disposable cutlery. MFI: 0.5. Density: 1.05.,ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,0.1,10.0,CHAIN_AMORPHOUS,"{'MFI': '0.5', 'Density': '1.05 g/cm3', 'Tm': '100 C', 'Recyclable': '20.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PS_GP_MFI20_02,Polystyrene (Grade 2),Disposable cutlery. MFI: 20.0. Density: 1.05.,ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,-0.2,10.0,CHAIN_AMORPHOUS,"{'MFI': '20.0', 'Density': '1.05 g/cm3', 'Tm': '100 C', 'Recyclable': '20.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_PS_GP_MFI20_03,Polystyrene (Grade 3),Disposable cutlery. MFI: 20.0. Density: 1.05.,ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,-0.2,10.0,CHAIN_AMORPHOUS,"{'MFI': '20.0', 'Density': '1.05 g/cm3', 'Tm': '100 C', 'Recyclable': '20.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
MAT-POLY_ABS_HI_MFI5_01,ABS (Grade 1),"Lego bricks, housings. MFI: 5.0. Density: 1.04.",ERA-05_ELECTRICAL,MAT-RUBBER_NATURAL,ACTIVE,1.2,50.0,CHAIN_SEMI_CRYSTALLINE,"{'MFI': '5.0', 'Density': '1.04 g/cm3', 'Tm': '105 C', 'Recyclable': '60.0%'}",C-H-O-N Chain,RES-FUEL_OIL_BRENT;RES-FUEL_GAS_NGL,PROC-SYN_POLYMERIZATION_STANDARD,SOC-NEED_LIGHTWEIGHT,MKT-CONSUMER_GOODS,Microplastics; UV Degradation,Ocean Accumulation,ENV-OCEAN:POLLUTE:-10;FAC-MFG:ENABLE:+20,NULL
