ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Invention_Reason,Social_Context,Drawbacks,Side_Effects,Impact_Map,Scarcity_Score,Properties,External_Data_Link,Input_State,Output_State,Physics_Law,Energy_Type,Energy_Cost_Estimate,Req_Infrastructure
PROC-ASS_MANUAL_ROUGH,Manual Assembly (Rough),Hand tools. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,3.81,20.0,ASSEMBLY,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '5.0 mm', 'Waste': '0%', 'Energy': '0.25 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,ELECTRIC,Medium,FAC-GENERIC
PROC-ASS_MANUAL_STANDARD,Manual Assembly (Standard),Hand tools. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,1.91,20.0,ASSEMBLY,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '1.0 mm', 'Waste': '0%', 'Energy': '0.5 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,ELECTRIC,Medium,FAC-GENERIC
PROC-ASS_MANUAL_PRECISION,Manual Assembly (Precision),Hand tools. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,10.73,20.0,ASSEMBLY,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.2 mm', 'Waste': '0%', 'Energy': '1.5 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,ELECTRIC,Medium,FAC-GENERIC
PROC-ASS_LINE_ROUGH,Assembly Line (Rough),Conveyor belt. Waste: 1%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,0.94,20.0,ASSEMBLY,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '2.5 mm', 'Waste': '1%', 'Energy': '1.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,ELECTRIC,Medium,FAC-GENERIC
PROC-ASS_LINE_STANDARD,Assembly Line (Standard),Conveyor belt. Waste: 1%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,3.43,20.0,ASSEMBLY,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.5 mm', 'Waste': '1%', 'Energy': '2.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,ELECTRIC,Medium,FAC-GENERIC
PROC-ASS_LINE_PRECISION,Assembly Line (Precision),Conveyor belt. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,3.81,20.0,ASSEMBLY,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.1 mm', 'Waste': '0%', 'Energy': '6.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,ELECTRIC,High,FAC-GENERIC
PROC-ASS_PRECISION_ROUGH,Precision Assembly (Rough),Cleanroom assembly. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,19.97,20.0,ASSEMBLY,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.05 mm', 'Waste': '0%', 'Energy': '1.5 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,ELECTRIC,Medium,FAC-GENERIC
PROC-ASS_PRECISION_STANDARD,Precision Assembly (Standard),Cleanroom assembly. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,15.35,20.0,ASSEMBLY,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.01 mm', 'Waste': '0%', 'Energy': '3.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,ELECTRIC,Medium,FAC-GENERIC
PROC-ASS_PRECISION_PRECISION,Precision Assembly (Precision),Cleanroom assembly. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,6.91,20.0,ASSEMBLY,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.002 mm', 'Waste': '0%', 'Energy': '9.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,ELECTRIC,High,FAC-GENERIC
PROC-ASS_HEAVY_ROUGH,Heavy Assembly (Rough),Crane assisted. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,0.38,20.0,ASSEMBLY,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '10.0 mm', 'Waste': '0%', 'Energy': '2.5 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,ELECTRIC,Medium,FAC-GENERIC
