ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Invention_Reason,Social_Context,Drawbacks,Side_Effects,Impact_Map,Scarcity_Score,Properties,External_Data_Link,Input_State,Output_State,Physics_Law,Energy_Type,Energy_Cost_Estimate,Req_Infrastructure
PROC-DEF_STAMPING_ROUGH,Stamping (Rough),Sheet metal punching. Waste: 12%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,6.1,10.0,DEFORMATION,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.5 mm', 'Waste': '12%', 'Energy': '1.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-DEF_STAMPING_STANDARD,Stamping (Standard),Sheet metal punching. Waste: 10%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,10.36,10.0,DEFORMATION,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.1 mm', 'Waste': '10%', 'Energy': '2.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-DEF_STAMPING_PRECISION,Stamping (Precision),Sheet metal punching. Waste: 8%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,6.0,10.0,DEFORMATION,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.020000000000000004 mm', 'Waste': '8%', 'Energy': '6.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,High,FAC-GENERIC
PROC-DEF_FORGING_ROUGH,Forging (Rough),Hot metal shaping. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,0.48,10.0,DEFORMATION,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '2.5 mm', 'Waste': '0%', 'Energy': '2.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-DEF_FORGING_STANDARD,Forging (Standard),Hot metal shaping. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,1.73,10.0,DEFORMATION,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.5 mm', 'Waste': '0%', 'Energy': '4.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-DEF_FORGING_PRECISION,Forging (Precision),Hot metal shaping. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,1.92,10.0,DEFORMATION,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.1 mm', 'Waste': '0%', 'Energy': '12.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,High,FAC-GENERIC
PROC-DEF_ROLLING_ROUGH,Rolling (Rough),Metal flattening. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,0.64,10.0,DEFORMATION,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '5.0 mm', 'Waste': '0%', 'Energy': '1.5 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-DEF_ROLLING_STANDARD,Rolling (Standard),Metal flattening. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,0.32,10.0,DEFORMATION,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '1.0 mm', 'Waste': '0%', 'Energy': '3.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-DEF_ROLLING_PRECISION,Rolling (Precision),Metal flattening. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,1.79,10.0,DEFORMATION,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.2 mm', 'Waste': '0%', 'Energy': '9.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,High,FAC-GENERIC
PROC-DEF_EXTRUSION_AL_ROUGH,Alu Extrusion (Rough),Profile creation. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,4.62,10.0,DEFORMATION,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.5 mm', 'Waste': '0%', 'Energy': '1.5 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-DEF_EXTRUSION_AL_STANDARD,Alu Extrusion (Standard),Profile creation. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,7.68,10.0,DEFORMATION,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.1 mm', 'Waste': '0%', 'Energy': '3.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,Medium,FAC-GENERIC
PROC-DEF_EXTRUSION_AL_PRECISION,Alu Extrusion (Precision),Profile creation. Waste: 0%.,ERA-04_INDUSTRIAL,PROC-HAND_CRAFT,ACTIVE,4.35,10.0,DEFORMATION,SOC-NEED_EFFICIENCY,MKT-GLOBAL,None,None,SOC-PROGRESS:ENABLE:+10,0.0,"{'Precision': '0.020000000000000004 mm', 'Waste': '0%', 'Energy': '9.0 units'}",NULL,VARIES,VARIES,SCI-LAW_THERMO_2,KINETIC,High,FAC-GENERIC
