ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Properties,Req_Material,Req_Process,Impact_Map,Invention_Reason,Social_Context,Drawbacks,Side_Effects,External_Data_Link,Req_Infrastructure,Req_Science,Bill_of_Materials,Potential_Realization_Rate
PART-RES_0201_10OHM,Resistor 10Ω 0201,Thick film resistor. Package 0201.,ERA-05_ELECTRICAL,PART-RES_AXIAL,ACTIVE,10.0,5.0,PASSIVE_DAMPENER,"{'Resistance': '10 Ohm', 'Package': '0201', 'Power': '0.1W'}",MAT-CER_ALUMINA_96;RES-ORE_COPPER_SULFIDE,PROC-SYN_POLYMERIZATION_STANDARD,ASSY-PCB:ENABLE:+1,SOC-NEED_CONTROL,MKT-ELECTRONICS,None,Heat,NULL,FAC-GENERIC,SCI-LAW_OHM,NULL,0.99
PART-RES_0201_12OHM,Resistor 12Ω 0201,Thick film resistor. Package 0201.,ERA-05_ELECTRICAL,PART-RES_AXIAL,ACTIVE,10.0,5.0,PASSIVE_DAMPENER,"{'Resistance': '12 Ohm', 'Package': '0201', 'Power': '0.1W'}",MAT-CER_ALUMINA_96;RES-ORE_COPPER_SULFIDE,PROC-SYN_POLYMERIZATION_STANDARD,ASSY-PCB:ENABLE:+1,SOC-NEED_CONTROL,MKT-ELECTRONICS,None,Heat,NULL,FAC-GENERIC,SCI-LAW_OHM,NULL,0.99
PART-RES_0201_15OHM,Resistor 15Ω 0201,Thick film resistor. Package 0201.,ERA-05_ELECTRICAL,PART-RES_AXIAL,ACTIVE,10.0,5.0,PASSIVE_DAMPENER,"{'Resistance': '15 Ohm', 'Package': '0201', 'Power': '0.1W'}",MAT-CER_ALUMINA_96;RES-ORE_COPPER_SULFIDE,PROC-SYN_POLYMERIZATION_STANDARD,ASSY-PCB:ENABLE:+1,SOC-NEED_CONTROL,MKT-ELECTRONICS,None,Heat,NULL,FAC-GENERIC,SCI-LAW_OHM,NULL,0.99
PART-RES_0201_18OHM,Resistor 18Ω 0201,Thick film resistor. Package 0201.,ERA-05_ELECTRICAL,PART-RES_AXIAL,ACTIVE,10.0,5.0,PASSIVE_DAMPENER,"{'Resistance': '18 Ohm', 'Package': '0201', 'Power': '0.1W'}",MAT-CER_ALUMINA_96;RES-ORE_COPPER_SULFIDE,PROC-SYN_POLYMERIZATION_STANDARD,ASSY-PCB:ENABLE:+1,SOC-NEED_CONTROL,MKT-ELECTRONICS,None,Heat,NULL,FAC-GENERIC,SCI-LAW_OHM,NULL,0.99
PART-RES_0201_22OHM,Resistor 22Ω 0201,Thick film resistor. Package 0201.,ERA-05_ELECTRICAL,PART-RES_AXIAL,ACTIVE,10.0,5.0,PASSIVE_DAMPENER,"{'Resistance': '22 Ohm', 'Package': '0201', 'Power': '0.1W'}",MAT-CER_ALUMINA_96;RES-ORE_COPPER_SULFIDE,PROC-SYN_POLYMERIZATION_STANDARD,ASSY-PCB:ENABLE:+1,SOC-NEED_CONTROL,MKT-ELECTRONICS,None,Heat,NULL,FAC-GENERIC,SCI-LAW_OHM,NULL,0.99
PART-RES_0201_27OHM,Resistor 27Ω 0201,Thick film resistor. Package 0201.,ERA-05_ELECTRICAL,PART-RES_AXIAL,ACTIVE,10.0,5.0,PASSIVE_DAMPENER,"{'Resistance': '27 Ohm', 'Package': '0201', 'Power': '0.1W'}",MAT-CER_ALUMINA_96;RES-ORE_COPPER_SULFIDE,PROC-SYN_POLYMERIZATION_STANDARD,ASSY-PCB:ENABLE:+1,SOC-NEED_CONTROL,MKT-ELECTRONICS,None,Heat,NULL,FAC-GENERIC,SCI-LAW_OHM,NULL,0.99
PART-RES_0201_33OHM,Resistor 33Ω 0201,Thick film resistor. Package 0201.,ERA-05_ELECTRICAL,PART-RES_AXIAL,ACTIVE,10.0,5.0,PASSIVE_DAMPENER,"{'Resistance': '33 Ohm', 'Package': '0201', 'Power': '0.1W'}",MAT-CER_ALUMINA_96;RES-ORE_COPPER_SULFIDE,PROC-SYN_POLYMERIZATION_STANDARD,ASSY-PCB:ENABLE:+1,SOC-NEED_CONTROL,MKT-ELECTRONICS,None,Heat,NULL,FAC-GENERIC,SCI-LAW_OHM,NULL,0.99
PART-RES_0201_39OHM,Resistor 39Ω 0201,Thick film resistor. Package 0201.,ERA-05_ELECTRICAL,PART-RES_AXIAL,ACTIVE,10.0,5.0,PASSIVE_DAMPENER,"{'Resistance': '39 Ohm', 'Package': '0201', 'Power': '0.1W'}",MAT-CER_ALUMINA_96;RES-ORE_COPPER_SULFIDE,PROC-SYN_POLYMERIZATION_STANDARD,ASSY-PCB:ENABLE:+1,SOC-NEED_CONTROL,MKT-ELECTRONICS,None,Heat,NULL,FAC-GENERIC,SCI-LAW_OHM,NULL,0.99
PART-RES_0201_47OHM,Resistor 47Ω 0201,Thick film resistor. Package 0201.,ERA-05_ELECTRICAL,PART-RES_AXIAL,ACTIVE,10.0,5.0,PASSIVE_DAMPENER,"{'Resistance': '47 Ohm', 'Package': '0201', 'Power': '0.1W'}",MAT-CER_ALUMINA_96;RES-ORE_COPPER_SULFIDE,PROC-SYN_POLYMERIZATION_STANDARD,ASSY-PCB:ENABLE:+1,SOC-NEED_CONTROL,MKT-ELECTRONICS,None,Heat,NULL,FAC-GENERIC,SCI-LAW_OHM,NULL,0.99
PART-RES_0201_56OHM,Resistor 56Ω 0201,Thick film resistor. Package 0201.,ERA-05_ELECTRICAL,PART-RES_AXIAL,ACTIVE,10.0,5.0,PASSIVE_DAMPENER,"{'Resistance': '56 Ohm', 'Package': '0201', 'Power': '0.1W'}",MAT-CER_ALUMINA_96;RES-ORE_COPPER_SULFIDE,PROC-SYN_POLYMERIZATION_STANDARD,ASSY-PCB:ENABLE:+1,SOC-NEED_CONTROL,MKT-ELECTRONICS,None,Heat,NULL,FAC-GENERIC,SCI-LAW_OHM,NULL,0.99
