ID,Name,Description,Era,Predecessor_ID,Status,Syntropy_Score,Catalytic_Potential,Structural_Pattern,Properties,Req_Material,Req_Process,Impact_Map,Invention_Reason,Social_Context,Bill_of_Materials,Potential_Realization_Rate
PART-GEAR_SPUR_M1_T12,Spur Gear M1.0 T12,Involute gear. Pitch Dia: 12.0mm.,ERA-04_INDUSTRIAL,PART-GEAR_WOODEN,ACTIVE,5.0,10.0,RADIAL_SYMMETRY,"{'Module': '1.0', 'Teeth': '12', 'PD': '12.0mm'}",MAT-STL_1045_HR_US__001,PROC-MACH_MILL_PRECISION,ASSY-GEARBOX:ENABLE:+10,SOC-NEED_TORQUE,MKT-MACHINERY,NULL,0.98
PART-GEAR_SPUR_M1_T24,Spur Gear M1.0 T24,Involute gear. Pitch Dia: 24.0mm.,ERA-04_INDUSTRIAL,PART-GEAR_WOODEN,ACTIVE,5.0,10.0,RADIAL_SYMMETRY,"{'Module': '1.0', 'Teeth': '24', 'PD': '24.0mm'}",MAT-STL_1045_HR_US__001,PROC-MACH_MILL_PRECISION,ASSY-GEARBOX:ENABLE:+10,SOC-NEED_TORQUE,MKT-MACHINERY,NULL,0.98
PART-GEAR_SPUR_M1_T48,Spur Gear M1.0 T48,Involute gear. Pitch Dia: 48.0mm.,ERA-04_INDUSTRIAL,PART-GEAR_WOODEN,ACTIVE,5.0,10.0,RADIAL_SYMMETRY,"{'Module': '1.0', 'Teeth': '48', 'PD': '48.0mm'}",MAT-STL_1045_HR_US__001,PROC-MACH_MILL_PRECISION,ASSY-GEARBOX:ENABLE:+10,SOC-NEED_TORQUE,MKT-MACHINERY,NULL,0.98
PART-GEAR_SPUR_M1_T96,Spur Gear M1.0 T96,Involute gear. Pitch Dia: 96.0mm.,ERA-04_INDUSTRIAL,PART-GEAR_WOODEN,ACTIVE,5.0,10.0,RADIAL_SYMMETRY,"{'Module': '1.0', 'Teeth': '96', 'PD': '96.0mm'}",MAT-STL_1045_HR_US__001,PROC-MACH_MILL_PRECISION,ASSY-GEARBOX:ENABLE:+10,SOC-NEED_TORQUE,MKT-MACHINERY,NULL,0.98
PART-GEAR_SPUR_M2_T12,Spur Gear M2.0 T12,Involute gear. Pitch Dia: 24.0mm.,ERA-04_INDUSTRIAL,PART-GEAR_WOODEN,ACTIVE,5.0,10.0,RADIAL_SYMMETRY,"{'Module': '2.0', 'Teeth': '12', 'PD': '24.0mm'}",MAT-STL_1045_HR_US__001,PROC-MACH_MILL_PRECISION,ASSY-GEARBOX:ENABLE:+10,SOC-NEED_TORQUE,MKT-MACHINERY,NULL,0.98
PART-GEAR_SPUR_M2_T24,Spur Gear M2.0 T24,Involute gear. Pitch Dia: 48.0mm.,ERA-04_INDUSTRIAL,PART-GEAR_WOODEN,ACTIVE,5.0,10.0,RADIAL_SYMMETRY,"{'Module': '2.0', 'Teeth': '24', 'PD': '48.0mm'}",MAT-STL_1045_HR_US__001,PROC-MACH_MILL_PRECISION,ASSY-GEARBOX:ENABLE:+10,SOC-NEED_TORQUE,MKT-MACHINERY,NULL,0.98
PART-GEAR_SPUR_M2_T48,Spur Gear M2.0 T48,Involute gear. Pitch Dia: 96.0mm.,ERA-04_INDUSTRIAL,PART-GEAR_WOODEN,ACTIVE,5.0,10.0,RADIAL_SYMMETRY,"{'Module': '2.0', 'Teeth': '48', 'PD': '96.0mm'}",MAT-STL_1045_HR_US__001,PROC-MACH_MILL_PRECISION,ASSY-GEARBOX:ENABLE:+10,SOC-NEED_TORQUE,MKT-MACHINERY,NULL,0.98
PART-GEAR_SPUR_M2_T96,Spur Gear M2.0 T96,Involute gear. Pitch Dia: 192.0mm.,ERA-04_INDUSTRIAL,PART-GEAR_WOODEN,ACTIVE,5.0,10.0,RADIAL_SYMMETRY,"{'Module': '2.0', 'Teeth': '96', 'PD': '192.0mm'}",MAT-STL_1045_HR_US__001,PROC-MACH_MILL_PRECISION,ASSY-GEARBOX:ENABLE:+10,SOC-NEED_TORQUE,MKT-MACHINERY,NULL,0.98
PART-GEAR_SPUR_M4_T12,Spur Gear M4.0 T12,Involute gear. Pitch Dia: 48.0mm.,ERA-04_INDUSTRIAL,PART-GEAR_WOODEN,ACTIVE,5.0,10.0,RADIAL_SYMMETRY,"{'Module': '4.0', 'Teeth': '12', 'PD': '48.0mm'}",MAT-STL_1045_HR_US__001,PROC-MACH_MILL_PRECISION,ASSY-GEARBOX:ENABLE:+10,SOC-NEED_TORQUE,MKT-MACHINERY,NULL,0.98
PART-GEAR_SPUR_M4_T24,Spur Gear M4.0 T24,Involute gear. Pitch Dia: 96.0mm.,ERA-04_INDUSTRIAL,PART-GEAR_WOODEN,ACTIVE,5.0,10.0,RADIAL_SYMMETRY,"{'Module': '4.0', 'Teeth': '24', 'PD': '96.0mm'}",MAT-STL_1045_HR_US__001,PROC-MACH_MILL_PRECISION,ASSY-GEARBOX:ENABLE:+10,SOC-NEED_TORQUE,MKT-MACHINERY,NULL,0.98
PART-GEAR_SPUR_M4_T48,Spur Gear M4.0 T48,Involute gear. Pitch Dia: 192.0mm.,ERA-04_INDUSTRIAL,PART-GEAR_WOODEN,ACTIVE,5.0,10.0,RADIAL_SYMMETRY,"{'Module': '4.0', 'Teeth': '48', 'PD': '192.0mm'}",MAT-STL_1045_HR_US__001,PROC-MACH_MILL_PRECISION,ASSY-GEARBOX:ENABLE:+10,SOC-NEED_TORQUE,MKT-MACHINERY,NULL,0.98
